case_id,case_number,investigation_started,decision_date,duration_months,case_name,parties_name,parties_count,report_route,decision_type,article_infringed,offense_nature,commissioner,commissioner_id,appeal,court_case_linked,,,,,,,
44,26811,09.04.1970,09.12.1971,20,Continental Can Company,Continental Can Company,1,Commission own initiative,Infringement,82,Attempt to monopolize via shares,Franco M. Malfatti (P),3,1,Jun.72,,,,,,,
45,324,17.12.1965,16.12.1971,72,Vereeniging van Cementhandelaren,Vereeniging van Cementhandelaren,1,Notification,Infringement,81,Vertical export ban,Franco M. Malfatti (P),3,1,Aug.72,,,,,,,
46,23514,18.03.1963,16.12.1971,105,SAFCO,"Sàrl Bouclet fils, Zunequin & Cie.; SA Brisoux et Cie.; Sàrl Dupont-Cuveliez fils; SA Établissements Robert Durand; SA Nouveaux Établissements J. Duvet; SA F. Poulain et Cie.; SA La Semeuse",7,Notification,Negative Clearance ,81,Agreement between several small companies (horizontal),Franco M. Malfatti (P),3,0,,,,,,,,
47,5400,31.01.1963,22.12.1971,107,BURROUGHS-DELPLANQUE,Établissements L. Delplanque et fils; Burroughs Corporation,2,Notification,Negative Clearance ,81,Vertical restraints Licences,Franco M. Malfatti (P),3,0,,,,,,,,
48,5405,31.01.1963,22.12.1971,107,BURROUGHS / GEHA-WERKE,Geha-Werke GmbH; Burroughs Corporation,2,Notification,Negative Clearance ,81,Vertical restraints Licences,Franco M. Malfatti (P),3,0,,,,,,,,
49,26917,26.05.1971,23.12.1971,7,HENKEL / COLGATE,Henkel et Cie. GmbH; Colgate-Palmolive Cie New York; SpA Colgate-Palmolive Milaan,3,Notification,Exemption,81,Joint venture in R&D,Franco M. Malfatti (P),3,0,,,,,,,,
50,595,31.10.1962,23.12.1971,110,Nederlandse Cement-Handelsmaatschappij,"Nederlandse Cement-Handelsmaatschappij; Alsen'sche Portland-Cement-Fabriken KG; Anneliese Portland-Cement- und Wasserkalkwerke AG; Beckumer Portland-Zementwerk Bomke & Bleckmann KG;  Bonner Portland-Zementwerk AG; Breitenburger Portland-Cement-Fabrik; ""Burania"" Portlandzement- und Kalkwerk Betriebs-GmbH; Dyckerhoff Zementwerke AG; Elsa Zement- und Kalkwerke SA; Evers Portlandzement- und Kalkwerke Betriebs-GmbH; ""Felsenfest"" Westfälische Portland-Zement- und Kalkwerke GmbH; ""Fortuna""Portland-Zementwerke GmbH; Germania Zementwerke AG; Hannoverische Portland-Cementfabrik AG; Portland-Zementwerke Heidelberg AG; Portland-Cenmentwerk ""Heilbach"" Feldmann & Co.; Portland Cementfabrik Hemmoor; Hoesch AG Uüttenwerke; Holsteinische Portland-Cement-Fabrik GmbH; Zementwerk ""Ilse"" Friedrich-Wilhelm Mohn;  Klöckner-Werke AG Hütte Bremen; Klöckner-Werke AG Georgsmarienwerke; Friedr. Krupp Hüttenwerke AG; C. Mersmann Portland-Zementwerk; Hermann Milke KG; Nordcement AG; Portland-Zement- und Kalkwerk ""Nord"" Ruhr & Co.; Portland-Zementwerke ""Nordstern"" Josef Spenner; Hüttenwerk Oberhausen AG; Phoenix Zementwerke Krogbeumker KG; Rheinstahl Hüttenwerke AG; Teutonia Misburger Portland-Cementwerk; August Thyssen-Hütte AG; Tubag Trass-Zement- und Steinwerke AG; E. Schwenk Zementwerke GmbH; Westdeutsche Kalk- und Portlandzement-Werke AG; Westdeutsche Portland-Zement- und Kalkwerke Gebr. Gröne; Westfälische Portlandzementwerke Kohle & Co.; Portlandzementwerk Wittekind",39,Notification,Negative Clearance,81,Distribution cartel,Franco M. Malfatti (P),3,0,,,,,,,,
51,26612,11.03.1964,17.01.1972,96,MAN / SAVIEM,(MAN) Maschinenfabrik Augsburg-Nürnberg AG; (SAVIEM) SA de véhicules industriels et d'ëquipements mécanique,2,Notification,Exemption,81,Horizontal co-operation,Franco M. Malfatti (P),3,0,,,,,,,,
52,26844,02.07.1970,23.02.1972,23,WILD-LEITZ,Sàarl Wild; SA  E. Leitz,2,Notification,Negative Clearance,81,Agreement between two daughter companies,Franco M. Malfatti (P),3,0,,,,,,,,
53,"6964, 17448, 17545, 18673, 26858, 26890",30.01.1963,09.06.1972,112,DAVIDSON RUBBER CO,Davidson Rubber Company; Gebr. Happich GmbH; Gallino SpA; Maglum SA; CIM 3; Stampaggio Fesine Speciali SpA,6,Notification,Exemption and Negative Clearance,81,Exclusive licensing,Franco M. Malfatti (P),3,0,,,,,,,,
